"LAWAID","Parameter","Median"
"arc-00001","MCI",102.1
"arc-00003","MCI",59.6
"arc-00008","MCI",88.6
"arc-00009","MCI",76.8
"arc-00010","MCI",69.5
"arc-00013","MCI",93.7
"arc-00016","MCI",51.8
"arc-00017","MCI",66.8
"arc-00021","MCI",57
"arc-00024","MCI",59.8
"arc-00025","MCI",92.1
"arc-00027","MCI",116.85
"arc-00028","MCI",56.4
"arc-00030","MCI",132.1
"arc-00031","MCI",108.3
"arc-00033","MCI",84.4
"arc-00036","MCI",59.3
"arc-00037","MCI",69.4
"arc-00038","MCI",112.7
"arc-00113","MCI",69.7
"arc-00114","MCI",86.1
"arc-00115","MCI",99.2
"arc-00116","MCI",87.6
"arc-00124","MCI",54.1
"arc-00125","MCI",126.5
"arc-00126","MCI",110.75
"arc-00128","MCI",128.2
"arc-00131","MCI",80.7
"arc-00132","MCI",119.7
"arc-00134","MCI",101.3
"arc-00135","MCI",90.8
"arc-00138","MCI",133.5
"arc-00139","MCI",104.4
"arc-00141","MCI",98.1
"arc-00146","MCI",115.5
"arc-00148","MCI",125
"ebop-00011","MCI",103.766071425
"ebop-00011","PercentageEPTTaxa",49.286
"ebop-00011","TaxaRichness",13
"ebop-00016","MCI",93.959
"ebop-00016","PercentageEPTTaxa",45.42488889
"ebop-00016","TaxaRichness",15.5
"ebop-00045","MCI",65.5
"ebop-00079","MCI",112.089
"ebop-00079","PercentageEPTTaxa",30.1515
"ebop-00079","TaxaRichness",19
"ebop-00106","MCI",103.36821055
"ebop-00106","PercentageEPTTaxa",39.13
"ebop-00106","TaxaRichness",19
"ebop-00107","MCI",101.325019225
"ebop-00107","PercentageEPTTaxa",43.8135
"ebop-00107","TaxaRichness",19.5
"ebop-00108","MCI",123.7475
"ebop-00108","PercentageEPTTaxa",55.9195
"ebop-00108","TaxaRichness",26
"ebop-00109","MCI",92.231
"ebop-00109","PercentageEPTTaxa",38.4614615375
"ebop-00109","TaxaRichness",13
"ebop-00110","MCI",133.53275
"ebop-00110","PercentageEPTTaxa",62.856014705
"ebop-00110","TaxaRichness",29
"ebop-00111","MCI",123.3325
"ebop-00111","PercentageEPTTaxa",51.963
"ebop-00111","TaxaRichness",26.5
"ebop-00112","MCI",119.852
"ebop-00112","PercentageEPTTaxa",54.051
"ebop-00112","TaxaRichness",27
"ebop-00113","MCI",93.8756973675
"ebop-00113","PercentageEPTTaxa",26.5039868425
"ebop-00113","TaxaRichness",14.5
"ebop-00114","MCI",116.923
"ebop-00114","PercentageEPTTaxa",52.024
"ebop-00114","TaxaRichness",23
"ebop-00115","MCI",131.0195
"ebop-00115","PercentageEPTTaxa",59.98625
"ebop-00115","TaxaRichness",26
"ebop-00116","MCI",124.112583325
"ebop-00116","PercentageEPTTaxa",56.4104166675
"ebop-00116","TaxaRichness",20.5
"ebop-00117","MCI",111.6664762
"ebop-00117","PercentageEPTTaxa",36.59125
"ebop-00117","TaxaRichness",17.5
"ebop-00118","MCI",111.582
"ebop-00118","PercentageEPTTaxa",44.0705833325
"ebop-00118","TaxaRichness",21.5
"ebop-00119","MCI",103.006583325
"ebop-00119","PercentageEPTTaxa",37.8654722225
"ebop-00119","TaxaRichness",19.5
"ebop-00123","MCI",128.294
"ebop-00123","PercentageEPTTaxa",65.0001666675
