"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"lake george ne","NH4N","2012-04-12","2019-08-19","40","23","0.005","0.26"
"lake george ne","CHLA","2012-04-12","2019-08-19","40","23","5e-04","0.09"
"lake george ne","TP","2012-04-12","2019-08-19","40","23","0.007","0.23"
"lake george ne","Secchi","2015-05-28","2019-08-19","22","14","0.15","2.18"
"lake george ne","TN","2012-04-12","2019-08-19","40","23","0.33","2.4"
"lake george ne","ECOLI","2015-01-22","2019-08-19","35","23","8","1100"
"lake george ne","pH","2012-04-12","2019-08-19","40","23","6.4","7.8"
"lake george sw","NH4N","2012-04-12","2019-08-19","36","19","0.005","0.075"
"lake george sw","CHLA","2012-04-12","2019-08-19","36","19","7e-04","0.09"
"lake george sw","TP","2012-04-12","2019-08-19","36","19","0.007","0.23"
"lake george sw","Secchi","2015-05-28","2019-08-19","20","12","0.1","2.08"
"lake george sw","TN","2012-04-12","2019-08-19","36","19","0.24","3.6"
"lake george sw","ECOLI","2015-01-22","2019-08-19","31","19","9","1200"
"lake george sw","pH","2012-04-12","2019-08-19","36","19","6.6","7.9"
"lake manapouri at pomona island top","NH4N","2006-01-19","2019-01-16","76","21","0.005","0.036"
"lake manapouri at pomona island top","CHLA","2006-01-19","2019-01-16","74","20","2e-04","0.0047"
"lake manapouri at pomona island top","TP","2006-01-19","2019-01-16","76","21","0.001","0.03"
"lake manapouri at pomona island top","Secchi","2006-01-19","2019-01-16","78","21","6","15.9"
"lake manapouri at pomona island top","TN","2006-01-19","2019-01-16","77","21","0.064","0.58"
"lake manapouri at pomona island top","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake manapouri at pomona island top","pH","2006-01-19","2019-01-16","77","21","6.4","7.4"
"lake manapouri at stony point top","NH4N","2006-01-19","2019-01-16","77","21","0.005","0.027"
"lake manapouri at stony point top","CHLA","2006-01-19","2019-01-16","74","20","2e-04","0.0033"
"lake manapouri at stony point top","TP","2006-01-19","2019-01-16","77","21","0.001","0.03"
"lake manapouri at stony point top","Secchi","2006-01-19","2019-01-16","74","21","5.85","15.7"
"lake manapouri at stony point top","TN","2006-01-19","2019-01-16","78","21","0.075","0.16"
"lake manapouri at stony point top","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake manapouri at stony point top","pH","2006-01-19","2019-01-16","78","21","6.4","7.4"
"lake manapouri near frazers beach top","NH4N","2006-01-19","2019-01-16","77","21","0.005","0.016"
"lake manapouri near frazers beach top","CHLA","2006-01-19","2019-01-16","75","20","2e-04","0.0041"
"lake manapouri near frazers beach top","TP","2006-01-19","2019-01-16","77","21","0.001","1.5"
"lake manapouri near frazers beach top","Secchi","2006-01-19","2019-01-16","72","20","6.65","15.8"
"lake manapouri near frazers beach top","TN","2006-01-19","2019-01-16","78","21","0.066","0.23"
"lake manapouri near frazers beach top","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake manapouri near frazers beach top","pH","2006-01-19","2019-01-16","78","21","6.4","7.6"
"lake te anau at blue gum point top","NH4N","2006-01-19","2019-01-16","76","22","0.005","0.034"
"lake te anau at blue gum point top","CHLA","2006-01-19","2019-01-16","76","21","2e-04","0.003"
"lake te anau at blue gum point top","TP","2006-01-19","2019-01-16","77","22","0.0011","0.02"
"lake te anau at blue gum point top","Secchi","2006-01-19","2019-01-16","69","22","2.8","15.6"
"lake te anau at blue gum point top","TN","2006-01-19","2019-01-16","79","22","0.042","0.185"
"lake te anau at blue gum point top","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake te anau at blue gum point top","pH","2006-01-19","2019-01-16","79","22","6.4","7.6"
"lake te anau at south fiord top","NH4N","2006-01-19","2019-01-16","77","21","0.005","0.037"
"lake te anau at south fiord top","CHLA","2006-01-19","2019-01-16","74","20","2e-04","0.003"
"lake te anau at south fiord top","TP","2006-01-19","2019-01-16","78","22","0.001","0.71"
"lake te anau at south fiord top","Secchi","2006-01-19","2019-01-16","75","21","3.2","16.9"
"lake te anau at south fiord top","TN","2006-01-19","2019-01-16","79","22","0.068","0.12"
"lake te anau at south fiord top","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake te anau at south fiord top","pH","2006-01-19","2019-01-16","79","22","6.4","7.6"
"lake vincent centre","NH4N","2013-03-19","2019-02-28","33","25","0.005","0.161"
"lake vincent centre","CHLA","2013-03-19","2019-02-28","33","25","5e-04","0.017"
"lake vincent centre","TP","2013-03-19","2019-02-28","33","25","0.014","0.058"
"lake vincent centre","Secchi","2015-01-23","2019-02-28","15","11","1.1","2.3"
"lake vincent centre","TN","2013-03-19","2019-02-28","33","25","0.53","1.59"
"lake vincent centre","ECOLI","2016-01-22","2019-02-28","25","25","4","250"
"lake vincent centre","pH","2013-03-19","2019-02-28","33","25","7.2","8.1"
"lake vincent north","NH4N","2013-03-19","2019-02-28","33","25","0.005","0.127"
"lake vincent north","CHLA","2013-03-19","2019-02-28","33","25","4e-04","0.018"
"lake vincent north","TP","2013-03-19","2019-02-28","33","25","0.011","0.062"
"lake vincent north","Secchi","2015-01-23","2019-02-28","22","18","1.62","5.1"
"lake vincent north","TN","2013-03-19","2019-02-28","33","25","0.46","1.61"
"lake vincent north","ECOLI","2016-01-22","2019-02-28","25","25","5","60"
"lake vincent north","pH","2013-03-19","2019-02-28","33","25","7.2","7.6"
"the reservoir centre","NH4N","2013-03-19","2019-02-28","46","38","0.005","0.021"
"the reservoir centre","CHLA","2013-03-19","2019-02-28","46","38","0.0031","0.037"
"the reservoir centre","TP","2013-03-19","2019-02-28","46","38","0.016","0.085"
"the reservoir centre","Secchi","2015-01-23","2019-02-28","36","32","0.9","2.2"
"the reservoir centre","TN","2013-03-19","2019-02-28","46","38","0.48","0.78"
"the reservoir centre","ECOLI","2016-01-22","2019-02-28","38","38","4","80"
"the reservoir centre","pH","2013-03-19","2019-02-28","46","38","7.1","7.7"
"the reservoir west","NH4N","2013-03-19","2019-02-28","46","38","0.005","0.022"
"the reservoir west","CHLA","2013-03-19","2019-02-28","46","38","0.0035","0.028"
"the reservoir west","TP","2013-03-19","2019-02-28","46","38","0.019","0.051"
"the reservoir west","Secchi","2015-01-23","2019-02-28","37","33","0.9","2.2"
"the reservoir west","TN","2013-03-19","2019-02-28","46","38","0.44","0.75"
"the reservoir west","ECOLI","2016-01-22","2019-02-28","38","38","2","100"
"the reservoir west","pH","2013-03-19","2019-02-28","46","38","7.1","7.7"
"waiau lagoon middle","NH4N","2016-12-09","2019-08-07","34","34","0.005","0.091"
"waiau lagoon middle","CHLA","2016-12-09","2019-08-07","34","34","7e-04","0.02"
"waiau lagoon middle","TP","2016-12-09","2019-08-07","34","34","0.007","0.13"
"waiau lagoon middle","Secchi","2017-01-11","2019-08-07","21","21","0.24","2.701"
"waiau lagoon middle","TN","2016-12-09","2019-08-07","34","34","0.186","1.76"
"waiau lagoon middle","ECOLI","2016-12-09","2019-08-07","34","34","4","8000"
"waiau lagoon middle","pH","2016-12-09","2019-08-07","34","34","7.1","9.1"
"waiau lagoon monitoring station","NH4N","2016-12-09","2019-02-13","28","28","0.005","0.065"
"waiau lagoon monitoring station","CHLA","2016-12-09","2019-02-13","28","28","7e-04","0.019"
"waiau lagoon monitoring station","TP","2016-12-09","2019-02-13","28","28","0.01","0.114"
"waiau lagoon monitoring station","Secchi","2017-02-09","2019-02-13","22","22","0.3","3.9"
"waiau lagoon monitoring station","TN","2016-12-09","2019-02-13","28","28","0.21","1.82"
"waiau lagoon monitoring station","ECOLI","2016-12-09","2019-02-13","28","28","4","4900"
"waiau lagoon monitoring station","pH","2016-12-09","2019-02-13","28","28","7.1","9.1"
"waiau lagoon opp boat ramp","NH4N","2016-12-09","2019-02-13","28","28","0.005","0.034"
"waiau lagoon opp boat ramp","CHLA","2016-12-09","2019-02-13","28","28","5e-04","0.026"
