"","agency","xmlAge","var","earliest","latest","nMeas","nMeas5","nSite","meanMeas","maxMeas","minMeas","nNA"
"40","hbrc",0,"TP","21-May-2008","19-Dec-2019",650,208,5,0,0.7,0,0
"41","hrc",21,"CHLA","17-Jul-2013","18-Feb-2019",209,130,10,30.4,718,1.9,0
"42","hrc",21,"ECOLI","17-Jul-2013","18-Feb-2019",189,109,10,30.9,1200,0,0
"43","hrc",21,"NH4N","17-Jul-2013","18-Feb-2019",208,128,10,0.1,3,0,0
"44","hrc",21,"TN","17-Jul-2013","18-Feb-2019",210,130,10,1.9,5.7,0.6,0
"45","hrc",21,"TP","17-Jul-2013","18-Feb-2019",210,130,10,0.2,1.3,0,0
"46","nrc",8,"CHLA","06-Jan-2004","19-Dec-2018",141,35,17,0,0.2,0,0
"47","nrc",8,"ECOLI","02-Mar-2016","02-Mar-2016",1,1,1,158,158,158,1
"48","nrc",8,"NH4N","22-Feb-2004","19-Dec-2018",1312,335,26,0,1.5,0,0
"49","nrc",8,"Secchi","20-Jan-2004","19-Dec-2018",1356,331,26,3.6,18.2,0.2,1
"50","nrc",8,"TN","06-Jan-2004","19-Dec-2018",1408,335,26,0.6,9,0.1,0
"51","nrc",8,"TP","06-Jan-2004","19-Dec-2018",1407,335,26,0,0.8,0,0
"52","orc",0,"CHLA","14-Jan-2004","11-Jun-2019",1087,411,14,5.4,130,0,0
"53","orc",0,"ECOLI","14-Jan-2004","11-Jun-2019",1211,370,14,49,2200,1,0
"54","orc",0,"NH4N","14-Jan-2004","11-Jun-2019",1161,414,14,0,0.6,0,0
"55","orc",0,"pH","14-Jan-2004","11-Jun-2019",933,351,14,7.7,9.9,5.8,0
"56","orc",0,"TN","14-Jan-2004","11-Jun-2019",1152,408,14,0.4,3.1,0,0
"57","orc",0,"TP","14-Jan-2004","11-Jun-2019",1085,350,13,0,0.3,0,0
"58","trc",0,"CHLA","23-Feb-2004","17-Oct-2019",153,32,3,3.5,13.9,0,0
"59","trc",0,"ECOLI","18-Mar-2008","17-Oct-2019",38,26,2,69.6,1733,1,0
"60","trc",0,"NH4N","23-Feb-2004","17-Oct-2019",256,64,4,0,0.4,0,0
"61","trc",0,"pH","23-Feb-2004","17-Oct-2019",374,96,6,7.3,8.8,6.5,0
"62","trc",0,"Secchi","23-Feb-2004","17-Oct-2019",128,32,2,2.7,5.8,0.1,0
"63","trc",0,"TN","23-Feb-2004","17-Oct-2019",256,64,4,0.7,2.2,0.2,0
"64","trc",0,"TP","23-Feb-2004","17-Oct-2019",256,64,4,0,0.7,0,0
"65","wcrc",0,"CHLA","26-Jan-2004","18-Dec-2019",304,94,3,1.8,10.7,0.1,0
"66","wcrc",0,"NH4N","26-Jan-2004","18-Dec-2019",306,97,3,0,0.1,0,0
"67","wcrc",0,"Secchi","26-Jan-2004","18-Dec-2019",343,120,3,4.9,9.3,1.4,0
"68","wcrc",0,"TN","26-Jan-2004","18-Dec-2019",305,97,3,0.2,0.5,0.1,0
"69","wcrc",0,"TP","26-Jan-2004","18-Dec-2019",305,97,3,0,0,0,0
"70","wrc",0,"CHLA","07-Jan-2004","17-Dec-2019",1164,392,12,0,0.8,0,0
"71","wrc",0,"ECOLI","24-Apr-2017","17-Dec-2019",303,303,12,69.9,2200,1,0
"72","wrc",0,"NH4N","07-Jan-2004","17-Dec-2019",1166,392,12,0.1,3.1,0,0
"73","wrc",0,"pH","07-Jan-2004","17-Dec-2019",1173,399,12,7.3,10.5,4.3,0
"74","wrc",0,"Secchi","07-Jan-2004","17-Dec-2019",1048,387,12,1,7.1,0,0
"75","wrc",0,"TN","07-Jan-2004","17-Dec-2019",1166,392,12,1.7,8.6,0.2,0
"76","wrc",0,"TP","07-Jan-2004","17-Dec-2019",1166,392,12,0.1,1.1,0,0
