"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"lake oingo - lake centre","TP","2011-01-18","2012-10-17","36","0","0.009","0.42"
"lake oingo - lake centre","TN","2011-01-18","2012-10-17","17","0","0.63","1.25"
"lake oingo - lake centre","Secchi","2011-02-28","2012-10-17","17","0","1.1","3.1"
"lake oingo - lake centre","ECOLI","2011-01-18","2012-10-17","18","0","1","45"
"lake oingo - lake centre","CHLA","2011-01-18","2012-10-17","18","0","1.4","18.3"
"lake oingo - lake centre","pH","2011-01-18","2012-10-17","34","0","6.46","9.94"
"lake opouahi top","TP","2008-05-21","2019-12-19","136","40","0.008","0.198"
"lake opouahi top","TN","2008-05-21","2019-12-19","68","20","0.1","1.61"
"lake opouahi top","Secchi","2008-05-21","2019-12-19","68","20","1.25","8.1"
"lake opouahi top","ECOLI","2008-05-21","2019-12-19","64","18","1","120"
"lake opouahi top","CHLA","2008-05-21","2019-12-19","77","20","0.6","82"
"lake opouahi top","pH","2008-05-21","2019-12-19","72","20","7.6","8.9"
"lake runanga - lake centre","TP","2011-01-18","2012-10-17","36","0","0.079","0.69"
"lake runanga - lake centre","TN","2011-01-18","2012-10-17","18","0","0.97","9"
"lake runanga - lake centre","Secchi","2011-01-18","2012-10-17","18","0","0.1","1.55"
"lake runanga - lake centre","ECOLI","2011-01-18","2012-10-17","18","0","1","35"
"lake runanga - lake centre","CHLA","2011-01-18","2012-10-17","18","0","3","450"
"lake runanga - lake centre","pH","2011-01-18","2012-10-17","34","0","7.3","9.66"
"lake tutira top","TP","2008-05-21","2019-12-19","270","96","0.004","0.069"
"lake tutira top","TN","2008-05-21","2019-12-19","135","48","0.16","1.85"
"lake tutira top","Secchi","2008-05-21","2019-12-19","127","46","0","9.9"
"lake tutira top","ECOLI","2008-05-21","2019-12-19","126","43","1","23"
"lake tutira top","CHLA","2008-09-17","2019-12-19","160","54","0.3","139"
"lake tutira top","pH","2008-05-21","2019-12-19","172","49","7.3","9.4"
"lake waikopiro top","TP","2008-06-26","2019-12-19","172","72","0.0085","0.13"
"lake waikopiro top","TN","2008-06-26","2019-12-19","86","36","0.3","2.6"
"lake waikopiro top","Secchi","2008-06-26","2019-12-19","80","33","0.65","6.1"
"lake waikopiro top","ECOLI","2008-06-26","2019-12-19","79","32","1","150"
"lake waikopiro top","CHLA","2008-09-17","2019-12-19","87","38","0.27","160"
"lake waikopiro top","pH","2008-06-26","2019-12-19","90","37","7.2","10.2"
