"","agency","xmlAge","var","earliest","latest","nMeas","nMeas5","nSite","meanMeas","maxMeas","minMeas","nNA"
"1","arc",NA,"CHLA","25-Feb-2004","08-Apr-2019",390,67,4,0.2,45,0,0
"2","arc",NA,"ECOLI","13-Aug-2004","08-Apr-2019",275,59,4,7.9,108,1,0
"3","arc",NA,"NH4N","25-Feb-2004","08-Apr-2019",737,133,4,0,0.8,0,0
"4","arc",NA,"pH","15-Apr-2009","08-Apr-2019",3280,278,4,7.4,10,5.5,0
"5","arc",NA,"Secchi","25-Feb-2004","28-Jun-2019",417,77,4,3.5,8.8,-6,0
"6","arc",NA,"TN","15-Apr-2009","08-Apr-2019",425,133,4,0.3,1.1,0,0
"7","arc",NA,"TP","25-Feb-2004","08-Apr-2019",743,133,4,0,0.8,0,0
"8","boprc",3,"CHLA","19-Jan-2004","15-Dec-2019",3200,968,14,8.6,283,0.3,0
"9","boprc",3,"NH4N","19-Jan-2004","15-Dec-2019",3209,998,14,8.5,1260,0,0
"10","boprc",3,"pH","19-Jan-2004","15-Dec-2019",3257,1026,14,7.4,10.5,1.8,0
"11","boprc",3,"Secchi","19-Jan-2004","15-Dec-2019",4385,966,14,6,20.2,0,0
"12","boprc",3,"TN","19-Jan-2004","15-Dec-2019",3206,995,14,45.2,2940.5,0,0
"13","boprc",3,"TP","19-Jan-2004","15-Dec-2019",3261,1012,14,3,231,0,0
"14","ecan",0,"CHLA","05-Jan-2004","21-Dec-2018",3719,812,41,42.4,13530.6,0,7
"15","ecan",0,"ECOLI","11-Jul-2005","17-Dec-2018",1302,379,12,178.8,24200,0,0
"16","ecan",0,"NH4N","05-Jan-2004","17-Dec-2018",1534,308,10,0,3.4,0,0
"17","ecan",0,"pH","05-Jan-2004","20-Dec-2018",1047,382,12,8,10.2,6.7,0
"18","ecan",0,"Secchi","07-Jan-2004","14-Dec-2018",769,159,5,0.1,0.6,0,0
"19","ecan",0,"TN","05-Jan-2004","21-Dec-2018",3182,740,39,1.1,200,0,0
"20","ecan",0,"TP","05-Jan-2004","21-Dec-2018",3182,740,39,0.1,18,0,0
"21","es",0,"CHLA","19-Jan-2006","19-Aug-2019",1381,533,18,0,0.1,0,20
"22","es",0,"ECOLI","29-Oct-2010","19-Aug-2019",597,446,13,162.4,17000,1,1
"23","es",0,"NH4N","19-Jan-2006","19-Aug-2019",1220,417,18,0.1,17,0,33
"24","es",0,"pH","19-Jan-2006","19-Aug-2019",1260,442,18,7.5,9.2,6.4,8
"25","es",0,"Secchi","19-Jan-2006","19-Aug-2019",874,405,18,5.7,16.9,0.1,0
"26","es",0,"TN","19-Jan-2006","19-Aug-2019",1434,549,18,0.7,6.4,0,10
"27","es",0,"TP","19-Jan-2006","19-Aug-2019",1425,553,18,0,1.5,0,6
"28","gwrc",10,"CHLA","28-Jan-2004","25-Jun-2019",331,149,4,8.8,111,2.4,1
"29","gwrc",10,"ECOLI","28-Jan-2004","30-May-2012",52,0,2,252.3,4700,1,0
"30","gwrc",10,"NH4N","28-Jan-2004","25-Jun-2019",331,149,4,0,0.1,0,1
"31","gwrc",10,"pH","08-Feb-2005","24-Jun-2016",181,17,4,7.6,9,5.9,17
"32","gwrc",10,"Secchi","28-Jan-2004","25-Jun-2019",313,137,4,0.4,1.6,0.1,6
"33","gwrc",10,"TN","28-Jan-2004","25-Jun-2019",331,149,4,0.6,1.8,0.1,1
"34","gwrc",10,"TP","28-Jan-2004","25-Jun-2019",331,149,4,0.1,0.4,0,1
"35","hbrc",0,"CHLA","21-May-2008","01-Dec-2017",279,22,7,12.1,450,0.2,0
"36","hbrc",0,"ECOLI","21-May-2008","23-May-2019",313,83,5,5.3,150,1,0
"37","hbrc",0,"pH","21-May-2008","23-May-2019",396,85,7,8.2,10.2,6.5,0
"38","hbrc",0,"Secchi","21-May-2008","23-May-2019",326,82,7,3.8,15.4,0,0
"39","hbrc",0,"TN","21-May-2008","23-May-2019",338,85,7,0.6,9,0.1,0
"40","hbrc",0,"TP","21-May-2008","23-May-2019",684,170,7,0,0.7,0,0
"41","hrc",0,"CHLA","17-Jul-2013","18-Feb-2019",209,130,10,30.4,718,1.9,0
"42","hrc",0,"ECOLI","17-Jul-2013","18-Feb-2019",189,109,10,30.9,1200,0,0
"43","hrc",0,"NH4N","17-Jul-2013","18-Feb-2019",208,128,10,0.1,3,0,0
"44","hrc",0,"TN","17-Jul-2013","18-Feb-2019",210,130,10,1.9,5.7,0.6,0
"45","hrc",0,"TP","17-Jul-2013","18-Feb-2019",210,130,10,0.2,1.3,0,0
"46","nrc",0,"CHLA","06-Jan-2004","19-Dec-2018",141,35,17,0,0.2,0,0
"47","nrc",0,"ECOLI","02-Mar-2016","02-Mar-2016",1,1,1,158,158,158,1
"48","nrc",0,"NH4N","22-Feb-2004","19-Dec-2018",1312,335,26,0,1.5,0,0
"49","nrc",0,"Secchi","20-Jan-2004","19-Dec-2018",1356,331,26,3.6,18.2,0.2,1
"50","nrc",0,"TN","06-Jan-2004","19-Dec-2018",1408,335,26,0.6,9,0.1,0
"51","nrc",0,"TP","06-Jan-2004","19-Dec-2018",1407,335,26,0,0.8,0,0
"52","orc",0,"CHLA","14-Jan-2004","11-Jun-2019",1087,411,14,5.4,130,0,0
"53","orc",0,"ECOLI","14-Jan-2004","11-Jun-2019",1211,370,14,49,2200,1,0
"54","orc",0,"NH4N","14-Jan-2004","11-Jun-2019",1161,414,14,0,0.6,0,0
"55","orc",0,"pH","14-Jan-2004","11-Jun-2019",933,351,14,7.7,9.9,5.8,0
"56","orc",0,"TN","14-Jan-2004","11-Jun-2019",1152,408,14,0.4,3.1,0,0
"57","orc",0,"TP","14-Jan-2004","11-Jun-2019",1085,350,13,0,0.3,0,0
"58","trc",0,"CHLA","23-Feb-2004","17-Oct-2019",153,32,3,3.5,13.9,0,0
"59","trc",0,"ECOLI","18-Mar-2008","17-Oct-2019",38,26,2,69.6,1733,1,0
"60","trc",0,"NH4N","23-Feb-2004","17-Oct-2019",256,64,4,0,0.4,0,0
"61","trc",0,"pH","23-Feb-2004","17-Oct-2019",374,96,6,7.3,8.8,6.5,0
"62","trc",0,"Secchi","23-Feb-2004","17-Oct-2019",128,32,2,2.7,5.8,0.1,0
"63","trc",0,"TN","23-Feb-2004","17-Oct-2019",256,64,4,0.7,2.2,0.2,0
"64","trc",0,"TP","23-Feb-2004","17-Oct-2019",256,64,4,0,0.7,0,0
"65","wcrc",0,"CHLA","26-Jan-2004","18-Dec-2019",304,94,3,1.8,10.7,0.1,0
"66","wcrc",0,"NH4N","26-Jan-2004","18-Dec-2019",306,97,3,0,0.1,0,0
"67","wcrc",0,"Secchi","26-Jan-2004","18-Dec-2019",343,120,3,4.9,9.3,1.4,0
"68","wcrc",0,"TN","26-Jan-2004","18-Dec-2019",305,97,3,0.2,0.5,0.1,0
"69","wcrc",0,"TP","26-Jan-2004","18-Dec-2019",305,97,3,0,0,0,0
"70","wrc",0,"CHLA","07-Jan-2004","17-Dec-2019",1164,392,12,0,0.8,0,0
"71","wrc",0,"ECOLI","24-Apr-2017","17-Dec-2019",303,303,12,69.9,2200,1,0
"72","wrc",0,"NH4N","07-Jan-2004","17-Dec-2019",1166,392,12,0.1,3.1,0,0
"73","wrc",0,"pH","07-Jan-2004","17-Dec-2019",1173,399,12,7.3,10.5,4.3,0
"74","wrc",0,"Secchi","07-Jan-2004","17-Dec-2019",1048,387,12,1,7.1,0,0
"75","wrc",0,"TN","07-Jan-2004","17-Dec-2019",1166,392,12,1.7,8.6,0.2,0
"76","wrc",0,"TP","07-Jan-2004","17-Dec-2019",1166,392,12,0.1,1.1,0,0
